biome * ffffff ffffff ffffff
biome 6 e0ffae 6a7039 6a7039
biome 29 ffffff 939984 ffffff
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 45 2e535f 404840 405340
biome 46 0077ee 55ff81 66ffc5
biome 47 cc1188 6d4189 7c6d87
biome 48 e0ffae a686a6 a686a6
biome 56 ffffff 554114 e94e14
biome 58 ffffff 8e86a6 8e86a6
biome 59 ffffff ffff3f ffff3f
biome 60 6c2c2c 572e23 64260f
biome 68 f08000 ffffff ffffff
biome 134 e0ffae 6a7039 6a7039
biome 157 ffffff 939984 ffffff
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
blocktype * * normal
block 777 9 ffcd8e44
block 777 10 ffca5923
block 777 11 fee9e59e
block 777 12 ff297475
block 778 * d97d0404
block 779 * ccfcc501
block 780 * d9083d3d
block 781 * ddfea934
block 782 * e522bff9
block 783 * b3ada87b
block 784 * ff25160e
block 785 * e63d0072
block 786 * ccb1b1b1
block 787 * ff333333
block 788 * ff8e8e74
block 789 0 ffbce02e
block 789 1 ff2c9ab5
block 789 2 ff232323
block 789 3 ff251be4
block 789 4 ffdf2eab
block 790 * 56262626
block 791 * ff505057
block 791 2 ff505154
block 792 0 3f5c5b41
block 792 1 7335424a
block 793 * ff505057
block 794 * ff7a787b
block 794 0 ff767c82
block 794 1 ff616469
block 794 2 ff7a7475
block 794 3 ff685d61
block 794 4 ff6c7c80
block 795 0 ff98989f
block 795 1 ff98989f
block 796 * ff505057
block 797 * e7b4b34f
block 798 * e74f94b4
block 799 * ff5f5067
block 800 * ff710504
block 801 * ff5b5855
block 801 1 ff62473f
block 801 2 ff4d5067
block 801 3 ff396c68
block 801 4 ff674845
block 801 5 ff465877
block 802 * ff780000
block 803 * ff5d6262
block 804 * ff625157
block 805 * ff5d504d
block 806 * ff6c654c
block 807 * ff4b4747
block 807 1 ff473c60
block 807 2 ff564143
block 807 3 ff533f33
block 807 4 ff435157
block 807 5 ff403c3c
block 807 6 ff5f5d4f
block 808 * ff434141
block 809 * ff8c5353
block 810 * ff600f0f
block 811 * ff5b1f1f
block 812 * ab6a6060
block 813 * ff891710
block 814 * ff971209
block 815 * 42771414
block 816 * ffa1312c
block 817 * 435b0202
block 818 * 5d590b05
block 819 * ff5b4303
block 820 * a9080400
block 822 * ff710504
block 823 * ff7c007c
block 824 * ff7c007c
block 825 * ff7c007c
block 826 * ff7c007c
block 828 * ff420326
block 829 * ff7c007c
block 830 * a81e1e1e
block 831 * ff7c007c
block 832 * ff7c007c
block 833 * ff946639
block 834 * ff5b5855
block 834 0 ff650363
block 834 1 ff560254
block 835 * ff7c007c
block 836 * ff971209
block 836 0 ff77451f
block 836 1 ff5e6537
block 837 * ff971209
block 837 0 ff774f0e
block 838 * 23342821
block 839 0 3093c0af
block 839 1 45a37a09
block 839 2 33a132aa
block 839 3 5a3191c7
block 839 4 3e709d1e
block 839 5 5c33b33a
block 839 6 32928056
block 839 7 453e5b36
block 839 8 474f6b47
block 839 9 3c298492
block 839 10 38632567
block 839 11 480a2ea5
block 839 12 334f3b0a
block 839 13 5514580d
block 839 14 558e381a
block 839 15 4c192316
block 840 0 ff7a7158
block 840 1 ff021c06
block 840 2 ff15210c
block 840 3 ff130f08
block 840 4 ff1f1327
block 840 5 ff091a12
block 840 6 ff4c3406
block 840 7 ff2b4f4e
block 840 8 ff2b1211
block 840 9 ff021a07
block 840 10 ff17220e
block 840 11 ff171109
block 840 12 ff261731
block 840 13 ff081b13
block 840 14 ff543906
block 840 15 ff2e5554
block 841 * ffc5c2b3
block 841 0 ffccc9b5
block 841 1 ffc5c2b1
block 841 2 ffbcbea3
block 841 3 ffbcbaa9
block 842 * ff2a220a
block 842 0 ff2b1209
block 842 1 ff260f08
block 842 2 ff23170b
block 842 3 ff291009
block 842 4 ff291109
block 843 * 32317e00
block 844 * ff8ea8a1
block 844 0 ff2b1209
block 844 1 ff2b1209
block 845 * ffccc9b5
block 846 * ffa8a696
block 847 0 3f9b9b9b
block 847 1 3f834d1f
block 847 2 3f6c2e83
block 847 3 3f3e5d83
block 847 4 3f8b8b1f
block 847 5 3f4d7c0f
block 847 6 3f934d64
block 847 7 3f2e2e2e
block 847 8 3f5d5d5d
block 847 9 3f2e4d5d
block 847 10 3f4d266c
block 847 11 3f1f2e6c
block 847 12 3f3e2e1f
block 847 13 3f3e4d1f
block 847 14 3f5d1f1f
block 847 15 3f0f0f0f
block 848 * ffe5acdb
block 848 0 ff428994
block 848 1 ff4dc724
block 848 2 ffd565ee
block 848 3 ffa2e8e4
block 849 * ff6246b2
block 850 * ffaeac9b
block 851 0 638b8b8b
block 851 1 6376451b
block 851 2 63612976
block 851 3 63375376
block 851 4 637d7d1b
block 851 5 63456f0e
block 851 6 6383455a
block 851 7 63292929
block 851 8 63535353
block 851 9 63294553
block 851 10 63452261
block 851 11 631b2961
block 851 12 6337291b
block 851 13 6337451b
block 851 14 63531b1b
block 851 15 630e0e0e
block 852 * ff929082
block 853 * ffb2877a
block 853 0 ff939082
block 854 * ff342a6c
block 855 * ff1e0b04
block 856 * 633d3d3d
block 857 * ffc9bb61
block 858 * ff666e71
block 858 0 ff220c04
block 859 * 3f032814
block 860 * ffe5acdb
block 860 0 ff499bda
block 860 1 ff4dc724
block 860 2 ffd565ee
block 860 3 ffa2e8e4
block 861 * 63ccbda2
block 862 0 309dc5b6
block 862 1 45ab8929
block 862 2 33af4ab6
block 862 3 5a459acc
block 862 4 3e82aa42
block 862 5 5c49b84f
block 862 6 329c9169
block 862 7 45526b4b
block 862 8 47597451
block 862 9 3c3d8f9c
block 862 10 38723876
block 862 11 482242ab
block 862 12 33614f23
block 862 13 5526631f
block 862 14 55974d32
block 862 15 4c2a3227
block 863 * ff4b465c
block 863 0 ff2a0f05
block 863 1 ff788783
block 864 * ff312307
block 864 0 ff2c1106
block 865 * ff86a5af
block 865 0 ff8ea8a1
block 865 1 ff7f938d
block 865 2 ff4f7273
block 865 3 ff7b9990
block 865 4 ff7c9c93
block 866 * ff75c968
block 867 * 2c75ff00
block 868 * bf164b01
block 870 * ff3b574b
block 870 0 ff6aa194
block 870 1 ff63a08f
block 871 * ffacc8be
block 872 * ff865c3a
block 872 2 ff502a1e
block 873 * ffaa7457
block 875 * ff96be6a
block 875 0 ff98b677
block 875 1 ff98b677
block 875 2 ff98b677
block 875 3 ff98b677
block 876 * ffb89c12
block 877 * ffb4b8e3
block 877 0 ff511d1d
block 877 1 ff432a1b
block 877 2 ffdde7e7
block 877 3 ff86523b
block 877 4 ffa9aee4
block 877 5 ffb0b4e3
block 877 7 ffaeb3e4
block 877 8 ffb2b6e3
block 877 9 ffb4b8e4
block 877 10 ffaeb3e3
block 877 11 ffbdc0e3
block 877 12 ffbdc0e3
block 877 13 ffc4c6e3
block 877 15 ff989fe4
block 878 * ff607b64
block 878 0 ff578066
block 879 * 6f8f088d
block 880 * ffa36554
block 881 * 33b0fdff
block 882 * ff7a7158
block 883 * 33b0bdff
block 884 * ff2f3354
block 885 * ffaaa796
block 885 1 ffa7a291
block 886 * ffa7a594
block 886 1 ffa7a291
block 887 * ffadaa99
block 887 1 ffa7a291
block 888 * ffa7a594
block 888 1 ffa7a291
block 889 * ffaca998
block 889 1 ffa7a291
block 890 * ff865c3a
block 890 2 ff502a1e
block 891 * 77e48206
block 892 * 12ffffff
block 893 * ffb38f4b
block 894 * ff598a26
block 895 0 ffd2d2d2
block 895 1 ffb2692a
block 895 2 ff933fb2
block 895 3 ff547eb2
block 895 4 ffbdbd2a
block 895 5 ff69a815
block 895 6 ffc76988
block 895 7 ff3f3f3f
block 895 8 ff7e7e7e
block 895 9 ff3f697e
block 895 10 ff693493
block 895 11 ff2a3f93
block 895 12 ff543f2a
block 895 13 ff54692a
block 895 14 ff7e2a2a
block 895 15 ff151515
block 896 * ffd565ee
block 897 * ff5d4493
block 898 * ffaa80aa
block 898 0 ffe1e6aa
block 898 1 ffd9daa9
block 898 2 ffa679a6
block 899 0 45c8beb0
block 899 1 44c36637
block 899 2 4ec73d8b
block 899 3 4073a8a7
block 899 4 63b7a552
block 899 5 4187c741
block 899 6 43e09188
block 899 7 4f7d746b
block 899 8 50b5a99c
block 899 9 3440ad9f
block 899 10 54872a98
block 899 11 4e543499
block 899 12 56513112
block 899 13 3a407b33
block 899 14 5f85120e
block 899 15 49675b4a
block 900 * ffccc9b5
block 901 0 2e96c1b1
block 901 1 57b67c06
block 901 2 3ab42fc3
block 901 3 763296d9
block 901 4 78a4b322
block 901 5 4e35b83e
block 901 6 38b28271
block 901 7 563e4e39
block 901 8 358abba8
block 901 9 658a7b0c
block 901 10 46835082
block 901 11 6a318fba
block 901 12 a587a720
block 901 13 6836a337
block 901 14 85687f32
block 901 15 813e5537
block 902 0 345e6b5b
block 902 1 7a2b82a1
block 902 2 4765216c
block 902 3 320a31a6
block 902 4 38513d0b
block 902 5 6e11530b
block 902 6 6f942117
block 902 7 59232b21
block 902 8 84556a4f
block 902 9 5d2b7f45
block 902 10 6463434f
block 902 11 50134287
block 902 12 4c51430b
block 902 13 731d6111
block 902 14 8589491e
block 902 15 6e22301e
block 904 * ffdea920
block 905 * ff624997
block 906 * ffd565ee
block 907 * ff2b1209
block 908 * 33b0bdff
block 909 * 9f8e887e
block 910 * ff89877a
block 911 * ff302109
block 912 * ffac712d
block 913 * 9fddd5c1
block 914 * 17cca7a2
block 914 0 17abc0c3
block 915 * ff77978d
block 916 * ff283518
block 917 * ff946d28
block 918 * ff2b1209
block 919 * 2c75ff00
block 920 * ff0e6f1a
block 921 * ffaba897
block 921 1 ffa7a291
block 922 * ff23252d
block 923 * ff59418b
block 924 * ffe0d8c3
block 925 * ffddeda9
block 926 * ff77a351
block 927 * ff2b1209
block 928 * ff865c3a
block 928 0 ff4d561c
block 928 1 ff995c00
block 928 2 ff0e5719
block 928 3 ff601305
block 928 4 ff076a60
block 928 5 ff491d47
block 929 * ff2b1209
block 930 * ff2b1209
block 931 * ff260f08
block 932 * ffccc9b5
block 933 * ffccc9b5
block 934 * ffc5c2b1
block 935 * ff8ea8a1
block 936 * ff8ea8a1
block 937 * ff7f938d
block 938 * ff6aa194
block 939 * ff6aa194
block 940 * ff63a08f
block 941 * ff3b574b
block 942 * ff98b677
block 943 * ff98b677
block 944 * ffb89c12
block 945 * ff511d1d
block 946 * ff432a1b
block 947 * ffdde7e7
block 948 * ff86523b
block 949 0 ff001c02
block 949 1 ff18240f
block 949 2 ff171109
block 949 3 ff1e1326
block 949 4 ff091d14
block 949 5 ff583c07
block 949 6 ff315a59
block 949 7 ff321514
block 949 8 ff021c06
block 949 9 ff15210c
block 949 10 ff130f08
block 949 11 ff1f1327
block 949 12 ff091a12
block 949 13 ff4c3406
block 949 14 ff2b4f4e
block 949 15 ff2b1211
block 950 0 ff021a07
block 950 1 ff17220e
block 950 2 ff171109
block 950 3 ff261731
block 950 4 ff081b13
block 950 5 ff543906
block 950 6 ff2e5554
block 950 7 ff2f1413
block 950 8 ff021b07
block 950 9 ff18230f
block 950 10 ff18110a
block 950 11 ff281833
block 950 12 ff091d14
block 950 13 ff593d07
block 950 14 ff2f5756
block 950 15 ff321514
block 951 * ffb3b3b6
block 951 0 ff828383
block 951 1 ff0f0f0f
block 951 3 ff997162
block 951 4 ff858586
block 951 5 ff101010
block 951 6 ffb8b8ba
block 951 7 ff9f7262
block 951 8 ff818282
block 951 9 ff0f0f0f
block 951 10 ffaeaeb0
block 951 11 ff9b7060
block 951 12 ff858585
block 951 13 ff101010
block 951 15 ff9a7161
block 952 * ff476b42
block 952 0 ffaea799
block 952 1 ff606361
block 952 2 ff4d5d75
block 952 3 ff835854
block 952 4 ff807440
block 953 * ff11141a
block 953 1 ff171a23
block 953 2 ff161921
block 953 3 ff171b23
block 953 4 ff171b23
block 954 * ff11141a
block 955 * ffc3e0ec
block 955 1 ffbbdce9
block 955 2 ffbeddea
block 955 3 ffbbdce9
block 955 4 ffbbdce9
block 956 * ffc3e0ec
block 957 * fffee3d0
block 957 1 fffddcc5
block 957 2 fffddec9
block 957 3 fffddcc5
block 957 4 fffddcc5
block 958 * fffee3d0
block 959 * ffefe0ff
block 959 1 ffebd8ff
block 959 2 ffeddbff
block 959 3 ffebd8ff
block 959 4 ffebd8ff
block 960 * ffefe0ff
block 961 * ffffd2d2
block 961 1 ffffc7c7
block 961 2 ffffcbcb
block 961 3 ffffc7c7
block 961 4 ffffc7c7
block 962 * ffffd2d2
block 963 * ffd6f7d7
block 963 1 ffcdf6cd
block 963 2 ffd0f6d1
block 963 3 ffccf5cd
block 963 4 ffccf5cd
block 964 * ffd6f7d7
block 965 * fff7f3d6
block 965 1 fff6f0cd
block 965 2 fff6f1d0
block 965 3 fff5efcc
block 965 4 fff5efcc
block 966 * fff7f3d6
block 967 * ff001c02
block 968 * ff18240f
block 969 * ff171109
block 970 * ff1e1326
block 971 * ff091d14
block 972 * ff583c07
block 973 * ff315a59
block 974 * ff321514
block 975 * ff021c06
block 976 * ff15210c
block 977 * ff130f08
block 978 * ff1f1327
block 979 * ff091a12
block 980 * ff4c3406
block 981 * ff2b4f4e
block 982 * ff2b1211
block 983 * ff021a07
block 984 * ff17220e
block 985 * ff171109
block 986 * ff261731
block 987 * ff081b13
block 988 * ff543906
block 989 * ff2e5554
block 990 * ff2f1413
block 991 0 ff021c06
block 991 1 ff15210c
block 991 2 ff130f08
block 991 3 ff1f1327
block 991 4 ff091a12
block 991 5 ff4c3406
block 991 6 ff2b4f4e
block 991 7 ff2b1211
block 991 8 ff021a07
block 991 9 ff17220e
block 991 10 ff171109
block 991 11 ff261731
block 991 12 ff081b13
block 991 13 ff543906
block 991 14 ff2e5554
block 991 15 ff2f1413
block 992 * ff828383
block 993 * ff0f0f0f
block 994 * ffb3b3b6
block 995 * ff997162
block 996 * ff818282
block 997 * ff0f0f0f
block 998 * ffaeaeb0
block 999 * ff9b7060
block 1000 * ffb3b3b6
block 1000 0 ff828383
block 1000 1 ff0f0f0f
block 1000 3 ff997162
block 1000 4 ff858586
block 1000 5 ff101010
block 1000 6 ffb8b8ba
block 1000 7 ff9f7262
block 1000 8 ff818282
block 1000 9 ff0f0f0f
block 1000 10 ffaeaeb0
block 1000 11 ff9b7060
block 1000 12 ff858585
block 1000 13 ff101010
block 1000 15 ff9a7161
block 1001 * ffaea799
block 1002 * ff606361
block 1003 * ff4d5d75
block 1004 * ff835854
block 1005 * ff807440
block 1006 * ff476b42
block 1007 * ffe1e6aa
block 1008 * ffa679a6
block 1009 * ffddeda9
block 1010 * ff77a351
block 1011 * 33b0bdff
block 1012 * 33b0fdff
block 1013 * 2c75ff00
block 1014 * ff11141a
block 1015 * ff11141a
block 1016 * ffc3e0ec
block 1017 * ffc3e0ec
block 1018 * fffee3d0
block 1019 * fffee3d0
block 1020 * ffefe0ff
block 1021 * ffefe0ff
block 1022 * ffffd2d2
block 1023 * ffffd2d2
block 1024 * ffd6f7d7
block 1025 * ffd6f7d7
block 1026 * fff7f3d6
block 1027 * fff7f3d6
block 1028 * ff2b1209
block 1029 * ff2b1209
block 1030 * ff260f08
block 1031 * ff260f08
block 1032 * ffccc9b5
block 1033 * ffccc9b5
block 1034 * ffc5c2b1
block 1035 * ffc5c2b1
block 1036 * ff8ea8a1
block 1037 * ff8ea8a1
block 1038 * ff7f938d
block 1039 * ff7f938d
block 1040 * ff98b677
block 1041 * ff98b677
block 1042 * ffb89c12
block 1043 * ffb89c12
block 1044 * ff6aa194
block 1045 * ff6aa194
block 1046 * ff63a08f
block 1047 * ff63a08f
block 1048 * ff3b574b
block 1049 * ff3b574b
block 1050 * ff511d1d
block 1051 * ff511d1d
block 1052 * ff432a1b
block 1053 * ff432a1b
block 1054 * ffdde7e7
block 1055 * ffdde7e7
block 1056 * ff86523b
block 1057 * ff86523b
block 1058 * ffb38f4b
block 1059 * ffb38f4b
block 1060 * ffe1e6aa
block 1061 * ffe1e6aa
block 1062 * ffa679a6
block 1063 * ffa679a6
block 1064 * ffddeda9
block 1065 * ffddeda9
block 1066 * ff77a351
block 1067 * ff77a351
block 1068 * ff001c02
block 1069 * ff001c02
block 1070 * ff18240f
block 1071 * ff18240f
block 1072 * ff171109
block 1073 * ff171109
block 1074 * ff1e1326
block 1075 * ff1e1326
block 1076 * ff091d14
block 1077 * ff091d14
block 1078 * ff583c07
block 1079 * ff583c07
block 1080 * ff315a59
block 1081 * ff315a59
block 1082 * ff321514
block 1083 * ff321514
block 1084 * ff021c06
block 1085 * ff021c06
block 1086 * ff15210c
block 1087 * ff15210c
block 1088 * ff130f08
block 1089 * ff130f08
block 1090 * ff1f1327
block 1091 * ff1f1327
block 1092 * ff091a12
block 1093 * ff091a12
block 1094 * ff4c3406
block 1095 * ff4c3406
block 1096 * ff2b4f4e
block 1097 * ff2b4f4e
block 1098 * ff2b1211
block 1099 * ff2b1211
block 1100 * ff021a07
block 1101 * ff021a07
block 1102 * ff17220e
block 1103 * ff17220e
block 1104 * ff171109
block 1105 * ff171109
block 1106 * ff261731
block 1107 * ff261731
block 1108 * ff081b13
block 1109 * ff081b13
block 1110 * ff543906
block 1111 * ff543906
block 1112 * ff2e5554
block 1113 * ff2e5554
block 1114 * ff2f1413
block 1115 * ff2f1413
block 1116 * ff828383
block 1117 * ff828383
block 1118 * ff0f0f0f
block 1119 * ff0f0f0f
block 1120 * ffb3b3b6
block 1121 * ffb3b3b6
block 1122 * ff997162
block 1123 * ff997162
block 1124 * ff818282
block 1125 * ff818282
block 1126 * ff0f0f0f
block 1127 * ff0f0f0f
block 1128 * ffaeaeb0
block 1129 * ffaeaeb0
block 1130 * ff9b7060
block 1131 * ff9b7060
block 1132 * ffaea799
block 1133 * ffaea799
block 1134 * ff606361
block 1135 * ff606361
block 1136 * ff4d5d75
block 1137 * ff4d5d75
block 1138 * ff835854
block 1139 * ff835854
block 1140 * ff807440
block 1141 * ff807440
block 1142 * ff476b42
block 1143 * ff476b42
block 1144 * ffc1c1c1
block 1145 * ffc1c1c1
block 1146 * 479d6128
block 1147 * ffa8a8a8
block 1148 * ffc9c9c9
block 1149 * ffcacaca
block 1150 * 11ac9a5e
block 1151 * ff634932
block 1152 * 4b807f7e
block 1153 * f4030303
block 1154 * b2938f00
block 1155 * f44e0000
block 1156 * 75681b26
block 1156 0 ff221e24
block 1156 1 ff3c2029
block 1157 * 79352c33
block 1157 1 52322d32
block 1157 2 752e292e
block 1157 3 5b2d262d
block 1157 4 70303031
block 1157 5 52322d32
block 1158 * ffb7b7b7
block 1159 * ffc7c7c7
block 1160 * ffbfbfbf
block 1161 * ffb7b7b7
block 1162 * ff5e4b37
block 1163 * ff715236
block 1164 * 2b7f0000
block 1165 * ffa8a8a8
block 1166 * ffa8a8a8
block 1167 * 957d0303
block 1168 * ffc7c7c7
block 1169 * 5f5d4f40
block 1170 * 5f5d4f40
block 1171 * 5f5d4f40
block 1172 * 5f5d4f40
block 1173 * 5f5d4f40
block 1174 * 5f5d4f40
block 1175 * 5f5d4f40
block 1176 * 5f5d4f40
block 1176 0 53574930
block 1177 * 5f5d4f40
block 1178 * 5f5d4f40
block 1179 * 5f5d4f40
block 1180 * 5f5d4f40
block 1181 * 1377674c
block 1182 * 5f5d4f40
block 1183 * 5f5d4f40
block 1184 * 5f5d4f40
block 1185 * 5f5d4f40
block 1186 * 13887346
block 1187 * e56a6300
block 1188 * bfa9a9a9
block 1189 * 3f4c690f
block 1189 1 4f628e1a
block 1189 2 6b628e1a
block 1190 * ff909090
block 1190 0 ff525261
block 1190 2 ff9a9a9a
block 1190 3 ff433d40
block 1190 4 ff1d1432
block 1190 5 ff9d7b54
block 1190 6 ff2c2c2c
block 1190 7 ffcdcdcd
block 1190 8 ff221101
block 1190 9 ffd46f1b
block 1190 10 fff1f1f1
block 1190 11 ff727299
block 1191 * ff222222
block 1192 0 ff1e4b47
block 1192 1 ff717171
block 1192 2 ff103f22
block 1192 3 ff8b9593
block 1192 4 ff322022
block 1192 5 ff373737
block 1192 6 ff505050
block 1192 7 ff9d7b54
block 1192 8 ff575757
block 1192 9 ff616161
block 1192 10 ff616060
block 1192 11 ff846d47
block 1192 12 ff433d40
block 1192 13 ff21403c
block 1192 14 ff62492c
block 1192 15 ff383838
block 1193 0 ffe3e3e3
block 1193 1 53bcbcbc
block 1193 2 ffc3c3c3
block 1193 3 ffb2b2b2
block 1193 4 ff898989
block 1193 5 ff4b4b4b
block 1193 6 ff626262
block 1193 7 ffb1851f
block 1193 8 ff999999
block 1193 9 ff737373
block 1193 10 ff1d1915
block 1193 11 c3241e34
block 1193 12 c30e0e0e
block 1193 13 ffa2a2a2
block 1193 14 537e7e7e
block 1193 15 ff828282
block 1194 * bf6c6656
block 1195 * 9f776c6c
block 1195 8 9f9c7c70
block 1195 9 9f9c7c70
block 1195 10 9f9c7c70
block 1195 11 9f9c7c70
block 1195 12 9f9c7c70
block 1195 13 9f9c7c70
block 1195 14 9f9c7c70
block 1195 15 9f9c7c70
block 1196 * cf232323
block 1196 0 8f8a8a92
block 1196 2 57222222
block 1196 4 57222222
block 1196 5 57252421
block 1196 6 8f8c8c94
block 1196 7 8f8b8b93
block 1196 8 8f85858d
block 1196 9 8f85858c
block 1196 10 8f8b8b93
block 1196 13 8f87878f
block 1196 14 57222222
block 1196 15 57222222
block 1197 0 ff9d7b54
block 1197 1 ff423c3e
block 1197 2 ff909090
block 1197 3 ffaeccc6
block 1197 4 afb0d1cd
block 1197 5 ffa7c2d6
block 1197 6 ff515756
block 1197 7 ffb89520
block 1197 8 ff428994
block 1197 9 ff4f75a0
block 1197 10 ffbdbdbd
block 1197 11 ffc7bdab
block 1197 12 ff6a1d1f
block 1197 13 ff242424
block 1197 14 ff9a7851
block 1197 15 ff3e383a
block 1198 0 ff9d7b54
block 1198 1 ff423c3e
block 1198 2 ff909090
block 1198 3 ffaeccc6
block 1198 4 afb0d1cd
block 1198 5 ffa7c2d6
block 1198 6 ff515756
block 1198 7 ffb89520
block 1198 8 ff428994
block 1198 9 ff4f75a0
block 1198 10 ffbdbdbd
block 1198 11 ffc7bdab
block 1198 12 ff6a1d1f
block 1198 13 ff242424
block 1198 14 ff9a7851
block 1198 15 ff3e383a
block 1199 * ff212121
block 1199 1 ffc7bdab
block 1199 2 ff681c1d
block 1199 3 ff4d729d
block 1199 4 ff3e383a
block 1199 5 ff2d161a
block 1199 6 ffbdbdbd
block 1199 7 ff9a7851
block 1199 8 ffd2a96e
block 1199 9 ffa7a486
block 1200 * ff515756
block 1200 1 ffb89520
block 1200 2 ffd46f1b
block 1200 3 fff1f1f1
block 1200 4 ff727299
block 1200 5 ff9a9a9a
block 1201 * ff242424
block 1201 1 ff212121
block 1201 2 ff212121
block 1201 3 ff1c1c1c
block 1201 4 ff1d1d1d
block 1201 5 ff272727
block 1202 * ffc7bdab
block 1202 1 ffc6bcaa
block 1202 3 ffb9af9d
block 1202 4 ffbbb19f
block 1202 5 ffb1ab9b
block 1203 * ff6a1d1f
block 1203 1 ff681d1e
block 1203 2 ff681c1d
block 1203 3 ff5f1c1d
block 1203 4 ff611c1e
block 1203 5 ff680d10
block 1204 * ff4f75a0
block 1204 1 ff4d729d
block 1204 2 ff4d729d
block 1204 3 ff496b93
block 1204 4 ff4b6d95
block 1204 5 ff567aa5
block 1205 * ff423c3e
block 1205 1 ff3e383a
block 1205 2 ff3e383a
block 1205 3 ff3a3436
block 1205 4 ff3a3436
block 1205 5 ff3d3538
block 1206 * ffbdbdbd
block 1206 1 ffbcbcbc
block 1206 3 ffafafaf
block 1206 4 ffb1b1b1
block 1206 5 ffacacac
block 1207 * ff9d7b54
block 1207 1 ff9a7851
block 1207 2 ff9a7851
block 1207 3 ff91724d
block 1207 4 ff93744f
block 1207 5 ff977650
block 1208 * ff2c161a
block 1208 1 ff2d161a
block 1208 2 ff2d161a
block 1208 3 ff2a1418
block 1208 4 ff2a1519
block 1208 5 ff2b141a
block 1209 * ff221101
block 1209 1 ff909090
block 1209 2 ff7c4219
block 1209 3 ff7c4219
block 1209 5 ff909090
block 1209 6 ff7c4219
block 1210 0 ff222222
block 1210 1 ff590800
block 1210 2 ff164b00
block 1210 3 ff5d2100
block 1210 4 ff0b1f56
block 1210 5 ff571057
block 1210 6 ff00484f
block 1210 7 ff969696
block 1210 8 ff545454
block 1210 9 ff902d69
block 1210 10 ff5d7e3c
block 1210 11 ff958800
block 1210 12 ff0d4e7f
block 1210 13 ff7f0d5b
block 1210 14 ffa34a00
block 1210 15 ffd2d2d2
block 1211 0 ff222222
block 1211 1 ff590800
block 1211 2 ff164b00
block 1211 3 ff5d2100
block 1211 4 ff0b1f56
block 1211 5 ff571057
block 1211 6 ff00484f
block 1211 7 ff969696
block 1211 8 ff545454
block 1211 9 ff902d69
block 1211 10 ff5d7e3c
block 1211 11 ff958800
block 1211 12 ff0d4e7f
block 1211 13 ff7f0d5b
block 1211 14 ffa34a00
block 1211 15 ffd2d2d2
block 1212 * ffd2a96e
block 1212 0 ff423c3e
block 1212 1 ff9d7b54
block 1212 2 ff909090
block 1212 3 ffaeccc6
block 1212 4 afb0d1cd
block 1212 5 ff7e755c
block 1212 6 ff707049
block 1212 7 ff7e755c
block 1212 8 ff7d745a
block 1212 9 ff3b2d27
block 1212 10 ffa65243
block 1212 14 ff12102b
block 1212 15 ff4f75a0
block 1213 * ffdfcfc9
block 1213 1 ffdecec8
block 1213 2 ff515756
block 1213 3 ffb89520
block 1213 4 ff428994
block 1213 5 ff242424
block 1213 6 ffbdbdbd
block 1213 7 ff6a1d1f
block 1213 8 ffc7bdab
block 1214 * 4fc7c7c7
block 1215 0 ff644416
block 1215 1 ff6b6b6b
block 1215 2 ff686868
block 1215 3 ff62655b
block 1215 4 ff606060
block 1215 5 ff8a8a8a
block 1215 6 ff846642
block 1215 7 ff594931
block 1215 8 ff79544a
block 1215 9 ff656565
block 1215 10 ffb7b7b7
block 1215 11 ff2e2114
block 1215 12 ff2e1d20
block 1215 13 ffb5b5b5
block 1215 14 ff75452e
block 1215 15 ff403b3d
block 1216 * ff606060
block 1216 1 ff5e5e5e
block 1216 2 ff656565
block 1216 3 ff656565
block 1216 5 ff5e5e5e
block 1216 6 ffb7b7b7
block 1216 7 ffb7b7b7
block 1217 * ffb5ada7
block 1217 1 ffb6a59f
block 1217 2 ff665554
block 1217 3 ff93a5a9
block 1217 4 ffe18b20
block 1217 5 ff736153
block 1218 * ff7f765d
block 1218 1 ffd2a96e
block 1218 2 ff2c2c2c
block 1218 3 ff2c2c2c
block 1218 4 ff2c2c2c
block 1218 5 ff732b23
block 1219 * ff392a25
block 1220 * ff12102b
block 1221 * ff774437
block 1222 * ff27273b
block 1222 1 9b1a2731
block 1223 * ff867a6a
block 1223 0 ff8a7051
block 1223 1 ff53402c
block 1223 2 ffbdae87
block 1223 3 ff6b492c
block 1223 4 ff5f4d3f
block 1223 5 ff343326
block 1223 7 ff1f1d0e
block 1223 8 ff5f4d3f
block 1223 9 ff343326
block 1223 11 ff1f1d0e
block 1223 12 ff5f4d3f
block 1223 13 ff343326
block 1223 15 ff1f1d0e
block 1224 * ff604a20
block 1224 1 ff6c6524
block 1225 * ff164d01
block 1225 1 ff1e4006
block 1225 2 ff284705
block 1225 5 ff1e4006
block 1225 6 ff284705
block 1225 9 ff1e4006
block 1225 10 ff284705
block 1225 13 ff1e4006
block 1225 14 ff284705
block 1226 * 276e6e18
block 1227 * 2b738426
block 1228 * b07522b0
block 1229 * ff707b70
block 1229 1 ff717b71
block 1229 3 ff717b71
block 1229 4 ff6f796f
block 1229 5 ff6c7763
block 1229 6 ff727573
block 1229 7 ff797f7b
block 1230 * ff3d662e
